x,idx,L,W,U_0,N_p,k_f,T_f,rho_f,mu_f,lam_f,C_fp,rho_p,d_p,C_pv,h,I_0,eps_p,avg_q,avg_T,rms_T,T_norm
0.25,1,0.1898058021911444,0.034211542160900464,1.8599884307651788,1600067.358785936,0.08322124242011582,300.1694656375683,1.162702499064844,1.5192851915859681e-05,0.031583500359053725,1062.356708388343,8415.812015284622,1.0737636197872597e-5,467.69863696565955,6279.242115476119,7876977.774491343,0.44267103472751695,689522.744123,485.02386328,7.61350650067,0.6158334501139076
0.25,2,0.15112179222009606,0.046360613012378434,2.232010092216693,2215856.7374812188,0.11122739884058548,243.21936661105036,1.1319405522885584,1.8407418886986623e-5,0.02590529952909897,1113.6519441872085,10648.082201854322,1.1005492554734672e-5,382.8729975292645,4666.593070696419,6551357.600487934,0.32479883608867105,684218.202841,291.388652299,4.18576415341,0.1980487259675362
0.25,3,0.1693629032607164,0.039825470074792285,2.0375261836045615,1707728.979399851,0.08674231192193717,289.82674026738954,1.1019924829832752,2.177345194568744e-5,0.03487354378990959,951.668650389702,10805.810715006,1.2448398377664858e-5,528.5409069036851,6147.514543716455,6121349.690279996,0.4027115414715384,619206.234701,401.695912382,5.61252546022,0.38598637244928385
0.25,4,0.13484532707057756,0.03252194904260157,2.44505768409013,2076160.8429433575,0.12083851426505127,357.6900103216864,1.2267570988069532,2.2302137344423606e-5,0.037009871279904065,997.6193818518157,10965.875637981477,9.729835332843908e-6,462.52764462032087,4920.611667212998,6363488.389388588,0.3890929290359961,1070186.027976,447.38885588,4.47573712409,0.250772576728222
0.25,5,0.20093476416641515,0.04407101810498035,1.6979202478075912,1945271.8999654225,0.09041235697466499,251.89886633990943,1.4408822829152905,2.284365985559991e-5,0.03557158739187709,936.8269839950863,7819.270244496988,1.1419857442614127e-5,413.86014244569475,6018.550387165598,8512473.09855723,0.4388801323764462,577245.05009,392.598064519,6.94572217992,0.5585543127821492
0.25,6,0.15998257866517285,0.03785862391933629,1.964563252413632,1822634.6853890277,0.07984310120971254,279.8403868148398,0.9637262699475421,2.125729934802412e-5,0.02489856338982882,1223.7922806325716,7372.629011901406,1.2602708109194416e-5,505.5509941033917,5356.113214982733,7011572.378820889,0.33616709579764564,648248.926505,401.381386353,7.57945706522,0.43432258267488544
0.25,7,0.17929322830163294,0.035988913686996006,2.357501226166965,2364952.1653052713,0.10238072131296269,260.8881017472753,1.4027604554197939,2.0261411208845076e-5,0.03221568906021333,813.2462075442758,7158.9686363571345,8.708671238390348e-6,552.5762851401655,5299.634471582379,8268366.1968959235,0.3192596956640257,701525.665048,360.759350975,4.18523498408,0.3828125873079138
0.25,8,0.14275176881359725,0.04876915785706856,2.152082776393068,1570572.7959802034,0.09822485288609895,270.19812602671175,1.0168190434920177,1.978110243401888e-5,0.03286053191779418,966.7454456449633,9192.037542977789,1.3077209337255967e-5,362.1701828322629,5133.74650489852,5664362.741821455,0.3276043416937811,571533.904537,316.366921554,3.86638447849,0.1708701544537137
0.25,9,0.18447464602278393,0.04189449859713711,2.5825270720737517,2175011.1284802733,0.10671242347104544,321.9753557614981,1.0728367581640172,1.5561752492263998e-5,0.02917639323178887,1185.918833614578,10339.498487903453,9.261981149698066e-6,447.3551768091953,5529.186569834639,6615205.229360313,0.3759348611480271,1057791.358755,378.998483247,3.58522936431,0.1771040126677942
0.25,10,0.14687717026719854,0.03363880990133672,1.7933830496997138,1676249.8548733084,0.09423768069579137,333.46533310980794,1.0444524145500422,1.7971060100217545e-5,0.028042535294844163,826.1300474797848,8052.637409766691,1.0870739405906866e-5,488.96721522199584,6981.448670769084,7288925.103369414,0.3727154674285967,515941.54205,515.090228011,7.41483208899,0.5446590001047701
